ID,Thuật toán,Tham số,Chi phí tốt nhất,Chi phí trung bình,Thời gian (s)
1,ACO,alpha=1.0, beta=2.0, min_max_aco=True, local_search=True, elitist_ants=0,982.63,1018.54,1.04
2,ACO,alpha=1.0, beta=2.0, min_max_aco=True, local_search=True, elitist_ants=2,982.63,1013.68,1.04
3,ACO,alpha=1.0, beta=2.0, min_max_aco=True, local_search=True, elitist_ants=5,982.63,1018.60,1.04
4,ACO,alpha=1.0, beta=2.0, min_max_aco=True, local_search=False, elitist_ants=0,1005.31,1052.40,0.93
5,ACO,alpha=1.0, beta=2.0, min_max_aco=True, local_search=False, elitist_ants=2,982.63,1024.71,0.93
6,ACO,alpha=1.0, beta=2.0, min_max_aco=True, local_search=False, elitist_ants=5,982.63,1022.00,0.93
7,ACO,alpha=1.0, beta=2.0, min_max_aco=False, local_search=True, elitist_ants=0,982.63,1186.07,1.08
8,ACO,alpha=1.0, beta=2.0, min_max_aco=False, local_search=True, elitist_ants=2,982.63,1180.23,1.32
9,ACO,alpha=1.0, beta=2.0, min_max_aco=False, local_search=True, elitist_ants=5,982.63,1175.72,1.36
10,ACO,alpha=1.0, beta=2.0, min_max_aco=False, local_search=False, elitist_ants=0,982.63,1201.70,1.55
11,ACO,alpha=1.0, beta=2.0, min_max_aco=False, local_search=False, elitist_ants=2,982.63,1187.97,1.94
12,ACO,alpha=1.0, beta=2.0, min_max_aco=False, local_search=False, elitist_ants=5,982.63,1170.24,1.19
13,ACO,alpha=1.0, beta=3.0, min_max_aco=True, local_search=True, elitist_ants=0,982.63,1050.91,1.32
14,ACO,alpha=1.0, beta=3.0, min_max_aco=True, local_search=True, elitist_ants=2,982.63,1048.99,1.27
15,ACO,alpha=1.0, beta=3.0, min_max_aco=True, local_search=True, elitist_ants=5,982.63,1048.00,1.34
16,ACO,alpha=1.0, beta=3.0, min_max_aco=True, local_search=False, elitist_ants=0,982.63,1053.83,1.18
17,ACO,alpha=1.0, beta=3.0, min_max_aco=True, local_search=False, elitist_ants=2,982.63,1056.95,1.22
18,ACO,alpha=1.0, beta=3.0, min_max_aco=True, local_search=False, elitist_ants=5,982.63,1062.01,1.21
19,ACO,alpha=1.0, beta=3.0, min_max_aco=False, local_search=True, elitist_ants=0,982.63,1172.55,1.34
20,ACO,alpha=1.0, beta=3.0, min_max_aco=False, local_search=True, elitist_ants=2,982.63,1164.20,1.37
21,ACO,alpha=1.0, beta=3.0, min_max_aco=False, local_search=True, elitist_ants=5,982.63,1166.90,1.32
22,ACO,alpha=1.0, beta=3.0, min_max_aco=False, local_search=False, elitist_ants=0,986.27,1170.51,1.20
23,ACO,alpha=1.0, beta=3.0, min_max_aco=False, local_search=False, elitist_ants=2,982.63,1153.41,1.18
24,ACO,alpha=1.0, beta=3.0, min_max_aco=False, local_search=False, elitist_ants=5,982.63,1150.75,1.15
25,ACO,alpha=1.0, beta=5.0, min_max_aco=True, local_search=True, elitist_ants=0,982.63,1089.24,1.35
26,ACO,alpha=1.0, beta=5.0, min_max_aco=True, local_search=True, elitist_ants=2,982.63,1085.24,1.36
27,ACO,alpha=1.0, beta=5.0, min_max_aco=True, local_search=True, elitist_ants=5,982.63,1093.98,1.32
28,ACO,alpha=1.0, beta=5.0, min_max_aco=True, local_search=False, elitist_ants=0,982.63,1097.21,1.20
29,ACO,alpha=1.0, beta=5.0, min_max_aco=True, local_search=False, elitist_ants=2,982.63,1105.19,1.22
30,ACO,alpha=1.0, beta=5.0, min_max_aco=True, local_search=False, elitist_ants=5,982.63,1096.04,1.23
31,ACO,alpha=1.0, beta=5.0, min_max_aco=False, local_search=True, elitist_ants=0,982.63,1140.31,1.33
32,ACO,alpha=1.0, beta=5.0, min_max_aco=False, local_search=True, elitist_ants=2,982.63,1140.01,1.39
33,ACO,alpha=1.0, beta=5.0, min_max_aco=False, local_search=True, elitist_ants=5,982.63,1134.57,1.41
34,ACO,alpha=1.0, beta=5.0, min_max_aco=False, local_search=False, elitist_ants=0,986.39,1145.09,1.27
35,ACO,alpha=1.0, beta=5.0, min_max_aco=False, local_search=False, elitist_ants=2,986.27,1140.44,1.23
36,ACO,alpha=1.0, beta=5.0, min_max_aco=False, local_search=False, elitist_ants=5,982.63,1135.35,1.24
37,ACO,alpha=2.0, beta=2.0, min_max_aco=True, local_search=True, elitist_ants=0,986.27,1001.57,1.34
38,ACO,alpha=2.0, beta=2.0, min_max_aco=True, local_search=True, elitist_ants=2,986.27,996.35,1.31
39,ACO,alpha=2.0, beta=2.0, min_max_aco=True, local_search=True, elitist_ants=5,982.63,996.22,1.37
40,ACO,alpha=2.0, beta=2.0, min_max_aco=True, local_search=False, elitist_ants=0,1045.61,1060.87,1.20
41,ACO,alpha=2.0, beta=2.0, min_max_aco=True, local_search=False, elitist_ants=2,982.63,997.08,1.25
42,ACO,alpha=2.0, beta=2.0, min_max_aco=True, local_search=False, elitist_ants=5,1038.70,1050.09,1.22
43,ACO,alpha=2.0, beta=2.0, min_max_aco=False, local_search=True, elitist_ants=0,986.27,1177.15,1.34
44,ACO,alpha=2.0, beta=2.0, min_max_aco=False, local_search=True, elitist_ants=2,982.63,1136.73,1.37
45,ACO,alpha=2.0, beta=2.0, min_max_aco=False, local_search=True, elitist_ants=5,986.27,1022.74,1.31
46,ACO,alpha=2.0, beta=2.0, min_max_aco=False, local_search=False, elitist_ants=0,982.63,1140.36,1.22
47,ACO,alpha=2.0, beta=2.0, min_max_aco=False, local_search=False, elitist_ants=2,982.63,1145.56,1.25
48,ACO,alpha=2.0, beta=2.0, min_max_aco=False, local_search=False, elitist_ants=5,986.39,1072.27,1.19
49,ACO,alpha=2.0, beta=3.0, min_max_aco=True, local_search=True, elitist_ants=0,982.63,994.48,1.36
50,ACO,alpha=2.0, beta=3.0, min_max_aco=True, local_search=True, elitist_ants=2,986.27,998.66,1.34
51,ACO,alpha=2.0, beta=3.0, min_max_aco=True, local_search=True, elitist_ants=5,982.63,997.57,1.33
52,ACO,alpha=2.0, beta=3.0, min_max_aco=True, local_search=False, elitist_ants=0,986.39,1001.75,1.27
53,ACO,alpha=2.0, beta=3.0, min_max_aco=True, local_search=False, elitist_ants=2,982.63,998.32,1.25
54,ACO,alpha=2.0, beta=3.0, min_max_aco=True, local_search=False, elitist_ants=5,986.39,998.73,1.20
55,ACO,alpha=2.0, beta=3.0, min_max_aco=False, local_search=True, elitist_ants=0,982.63,1120.78,1.30
56,ACO,alpha=2.0, beta=3.0, min_max_aco=False, local_search=True, elitist_ants=2,982.63,1122.03,1.38
57,ACO,alpha=2.0, beta=3.0, min_max_aco=False, local_search=True, elitist_ants=5,982.63,1165.78,1.36
