ID,Thuật toán,Tham số,Chi phí tốt nhất,Chi phí trung bình,Thời gian (s)
1,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,982.63,1054.19,0.59
2,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,986.27,1074.85,0.52
3,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,986.27,1076.17,0.66
4,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=False,982.63,1079.80,0.48
5,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=False,1057.84,1116.26,0.37
6,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=False,1089.57,1143.61,0.41
7,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,999.12,1095.00,0.47
8,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,1046.39,1129.26,0.41
9,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,991.17,1067.52,0.74
10,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=False,982.63,1041.21,0.89
11,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=False,1031.80,1122.66,0.34
12,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=False,986.27,1057.38,0.44
13,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,982.63,1080.28,0.57
14,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,1039.24,1125.67,0.51
15,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,1025.32,1136.14,0.41
16,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=False,982.63,1109.74,0.54
17,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=False,982.63,1084.39,0.49
18,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=False,982.63,1057.02,0.55
19,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,982.63,1075.19,0.36
20,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,982.63,1084.24,0.72
21,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,1000.79,1126.45,0.39
22,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=False,982.63,1058.01,0.75
23,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=False,982.63,1038.89,0.83
24,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=False,1059.18,1121.69,0.43
25,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,1121.27,1175.96,0.57
26,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,982.63,1097.73,0.50
27,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,1038.70,1120.81,0.59
28,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=False,986.27,1066.64,0.64
29,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=False,982.63,1086.40,0.45
30,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=False,982.63,1089.73,0.38
31,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,986.27,1125.45,0.44
32,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,982.63,1083.77,1.33
33,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,1031.80,1136.84,0.49
34,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=False,986.27,1112.42,0.99
35,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=False,982.63,1072.61,0.74
36,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=False,1000.12,1103.96,0.77
37,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,982.63,1083.93,0.63
38,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,982.63,1085.52,0.87
39,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,982.63,1068.43,0.94
40,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=False,982.63,1082.49,1.49
41,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=False,982.63,1062.70,1.16
42,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=False,1039.24,1127.14,0.51
43,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,982.63,1093.86,0.68
44,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,982.63,1075.48,0.78
45,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,982.63,1077.11,0.80
46,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=False,982.63,1082.18,1.45
